"CNY","EUR","JPY","GBP","CAD","AUD","G_USD"
8.2793,0.8726,107.72,1.4501,1.4866,0.5501,274.3
8.2791,0.8822,107.58,1.4624,1.4873,0.5498,274.35
8.2795,0.8832,107.31,1.463,1.4962,0.5512,278.58
8.2799,0.8815,107.52,1.4631,1.5001,0.5486,275.25
8.2798,0.8819,108.1,1.4735,1.5036,0.5427,274.25
8.279,0.867,108.8,1.448,1.503,0.5347,270.6
8.2789,0.8712,107.67,1.4526,1.4998,0.5328,272.75
8.2786,0.8685,107.52,1.4609,1.5031,0.534,271.15
8.2786,0.8623,107.43,1.4698,1.5092,0.5324,276.55
8.2784,0.8537,107.73,1.4516,1.5068,0.529,272.65
8.2781,0.8496,108.06,1.4469,1.5196,0.5235,272
8.2784,0.8551,107.99,1.4493,1.5198,0.5212,271.25
8.2781,0.838,107.67,1.4425,1.5148,0.52,270.65
8.278,0.8433,108.23,1.4442,1.511,0.5215,270.8
8.2778,0.8421,108.9,1.4494,1.5128,0.528,271.55
8.2784,0.835,108.21,1.4522,1.5084,0.526,270.25
8.2784,0.8369,107.89,1.45,1.5125,0.5255,270.65
8.2782,0.8268,108.12,1.4341,1.517,0.518,266.75
8.2785,0.8288,108.34,1.4333,1.5235,0.5207,265.15
8.2788,0.8402,108.53,1.4534,1.5277,0.5236,264.55
8.278,0.8422,108.95,1.4522,1.5307,0.5245,264.5
8.2775,0.8488,108.97,1.4491,1.523,0.5225,265.15
8.2773,0.8606,108.21,1.4488,1.5302,0.5233,264.8
8.277,0.8601,108.14,1.4456,1.5306,0.521,264.75
8.2768,0.865,106.88,1.4498,1.5315,0.5249,265.15
8.2771,0.8607,107.35,1.4286,1.5293,0.5269,265.05
8.2769,0.8606,107.03,1.4342,1.5318,0.5291,264.45
8.2772,0.855,107.22,1.422,1.5408,0.5271,265.05
